mapa\referencja,1,2,3,4,5,6
1,288,3,8,1,0,0
2,11,66,0,0,4,0
3,21,4,84,1,26,6
4,28,1,0,77,0,0
5,57,20,4,0,53,1
6,0,1,0,0,0,82
