mapa\referencja,1,2,3,4,5,6
1,245,2,4,0,0,0
2,6,53,0,0,4,0
3,35,11,87,2,24,8
4,29,1,0,77,0,1
5,90,27,5,0,55,1
6,0,1,0,0,0,79
