mapa\referencja,1,2,3,4,5,6
1,290,3,4,1,0,0
2,34,61,1,0,8,0
3,41,2,86,0,15,7
4,25,2,0,77,0,2
5,15,27,5,1,60,1
6,0,0,0,0,0,79
