mapa\referencja,1,2,3,4,5,6
1,237,2,4,0,0,0
2,6,56,1,0,4,0
3,38,13,85,2,26,8
4,30,1,0,77,0,1
5,94,23,6,0,53,1
6,0,0,0,0,0,79
