mapa\referencja,1,2,3,4,5,6
1,238,3,7,0,0,0
2,7,64,0,0,7,0
3,124,13,85,1,36,8
4,33,2,0,75,0,0
5,3,12,4,1,40,1
6,0,1,0,2,0,80
