mapa\referencja,1,2,3,4,5,6
1,138,0,0,0,0,0
2,0,24,0,0,1,0
3,22,0,73,0,1,0
4,27,1,0,72,0,0
5,217,69,23,7,80,8
6,1,1,0,0,1,81
