mapa\referencja,1,2,3,4,5,6,7
1,26,0,0,0,0,0,0
2,2,23,0,1,2,0,1
3,173,2,92,2,6,12,13
4,0,1,0,67,0,0,15
5,54,69,4,7,75,5,9
6,0,0,0,0,0,72,0
7,69,0,0,2,0,0,43
