mapa\referencja,1,2,3,4,5,6,7
1,99,0,6,0,0,0,0
2,18,50,0,0,8,0,11
3,28,2,70,1,6,0,7
4,0,1,0,75,0,0,18
5,134,41,19,2,69,6,1
6,0,1,1,0,0,83,0
7,45,0,0,1,0,0,44
