mapa\referencja,1,2,3,4,5,6,7
1,285,9,12,1,3,0,0
2,5,66,2,0,37,4,0
3,8,2,76,0,4,0,0
4,1,7,1,69,0,1,20
5,0,9,4,0,36,2,0
6,0,1,1,0,3,82,0
7,25,1,0,9,0,0,61
