mapa\referencja,1,2,3,4,5,6,7
1,253,2,4,0,5,0,0
2,3,49,0,0,1,0,0
3,19,7,90,1,3,4,0
4,1,1,0,67,0,0,7
5,2,27,1,0,46,0,2
6,0,8,0,5,28,85,0
7,46,1,1,6,0,0,72
