mapa\referencja,1,2,3,4,5,6,7
1,1,2,0,0,4,5,0
2,6,53,2,0,5,0,0
3,8,0,78,0,4,0,0
4,0,2,0,70,6,0,29
5,81,25,14,0,62,1,0
6,0,0,0,0,0,82,0
7,228,13,2,9,2,1,52
