mapa\referencja,1,2,3,4,5,6,7
1,257,3,9,0,29,2,0
2,4,64,3,0,18,0,0
3,5,0,71,0,3,0,0
4,0,7,0,70,0,1,9
5,0,13,10,0,33,0,0
6,0,1,0,0,0,86,0
7,58,7,3,9,0,0,72
