mapa\referencja,1,2,3,4,5,6,7
1,257,1,11,0,5,0,0
2,3,67,4,1,18,0,0
3,1,0,76,0,0,0,0
4,0,1,0,66,0,1,28
5,0,12,3,0,58,3,0
6,0,1,0,0,2,85,0
7,63,13,2,12,0,0,53
