mapa\referencja,1,2,3,4,5,6,7
1,32,0,0,0,0,0,0
2,1,26,0,0,2,0,3
3,160,2,90,6,4,9,17
4,0,1,0,68,0,0,15
5,62,66,6,3,77,8,2
6,0,0,0,0,0,72,0
7,69,0,0,2,0,0,44
