mapa\referencja,1,2,3,4,5,6,7
1,251,3,7,0,25,3,0
2,13,76,4,0,25,0,0
3,5,0,71,0,5,0,0
4,0,6,0,70,0,1,5
5,0,4,11,0,28,0,0
6,0,1,0,0,0,85,0
7,55,5,3,9,0,0,76
