mapa\referencja,1,2,3,4,5,6,7
1,122,0,5,0,0,0,0
2,3,51,0,0,16,0,0
3,37,8,77,1,6,0,2
4,0,2,1,73,2,0,26
5,140,32,13,1,59,5,2
6,0,1,0,0,0,82,0
7,22,1,0,4,0,2,51
