mapa\referencja,1,2,3,4,5,6,7
1,1,0,0,0,0,0,0
2,239,47,14,0,7,0,0
3,0,0,64,0,3,0,0
4,0,1,0,69,0,0,23
5,2,21,17,0,54,1,0
6,0,1,0,0,1,80,0
7,82,25,1,10,18,8,58
