Run_ID,Algorytm,Metoda,DA_bazowa_%,DA_metody_%,Delta_DA_pp,b,c,p,p_Holm_rodzina,Rodzina_n,Istotne_005
123456_poprawny_L1C_class,random forest,Band_Z-score,70.1299,73.0815,2.9516,15,40,0.0012,0.0812,102,nie
123456_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,83.5891,84.8878,1.2987,36,47,0.2724,1.0000,102,nie
123456_poprawny_L1C_class,support vector machine,GMM,87.7214,87.8394,0.1181,0,1,1.0000,1.0000,102,nie
123456_poprawny_L1C_class,spectral angle mapping,Band_Z-score,85.7143,85.8323,0.1181,2,3,1.0000,1.0000,102,nie
123456_poprawny_L1C_class,minimum distance,IQR,81.9362,83.3530,1.4168,12,24,0.0668,1.0000,102,nie
123456_poprawny_L1C_roi,maximum likelihood,OneClassSVM,70.1299,72.4911,2.3613,9,29,0.0021,0.1500,102,nie
123456_poprawny_L1C_roi,random forest,PCA_Reconstruction,70.4841,71.7828,1.2987,8,19,0.0543,1.0000,102,nie
123456_poprawny_L1C_roi,multi-layer perceptron,OneClassSVM,82.4085,84.0614,1.6529,41,55,0.1846,1.0000,102,nie
123456_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,87.7214,87.7214,0.0000,0,0,1.0000,1.0000,102,nie
123456_poprawny_L1C_roi,spectral angle mapping,MAD,85.7143,85.7143,0.0000,5,5,1.0000,1.0000,102,nie
123456_poprawny_L1C_roi,minimum distance,IQR,81.9362,82.1724,0.2361,2,4,0.6875,1.0000,102,nie
123456_poprawny_L2A_class,maximum likelihood,MAD,74.7344,78.0401,3.3058,15,43,0.0004,0.0361,102,TAK
123456_poprawny_L2A_class,random forest,SAM,80.4014,81.3459,0.9445,9,17,0.1698,1.0000,102,nie
123456_poprawny_L2A_class,multi-layer perceptron,OneClassSVM,80.0472,82.4085,2.3613,48,68,0.0777,1.0000,102,nie
123456_poprawny_L2A_class,support vector machine,SAM,85.2420,85.4782,0.2361,1,3,0.6250,1.0000,102,nie
123456_poprawny_L2A_class,spectral angle mapping,PCA,81.8182,83.3530,1.5348,25,38,0.1306,1.0000,102,nie
123456_poprawny_L2A_class,minimum distance,MAD,80.2834,81.4640,1.1806,12,22,0.1227,1.0000,102,nie
123456_poprawny_L2A_roi,maximum likelihood,Mahalanobis,74.7344,76.3872,1.6529,8,22,0.0176,1.0000,102,nie
123456_poprawny_L2A_roi,random forest,GMM,80.1653,81.1098,0.9445,9,17,0.1698,1.0000,102,nie
123456_poprawny_L2A_roi,multi-layer perceptron,GMM,80.0472,80.6375,0.5903,22,27,0.5677,1.0000,102,nie
123456_poprawny_L2A_roi,support vector machine,PCA_Reconstruction,85.2420,85.3601,0.1181,0,1,1.0000,1.0000,102,nie
123456_poprawny_L2A_roi,spectral angle mapping,Erosion,81.8182,82.2904,0.4723,5,9,0.4240,1.0000,102,nie
123456_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,80.2834,80.7556,0.4723,3,7,0.3438,1.0000,102,nie
123456_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,54.7816,76.0331,21.2515,32,212,0.0000,0.0000,102,TAK
123456_zbledami_L1C_class,random forest,IsolationForest,63.4002,69.5396,6.1393,23,75,0.0000,0.0000,102,TAK
123456_zbledami_L1C_class,multi-layer perceptron,HotellingT2,80.0472,86.4227,6.3754,36,90,0.0000,0.0002,102,TAK
123456_zbledami_L1C_class,support vector machine,PCA,88.3117,90.0826,1.7710,18,33,0.0499,1.0000,102,nie
123456_zbledami_L1C_class,spectral angle mapping,SAM,88.4298,89.2562,0.8264,0,7,0.0156,1.0000,102,nie
123456_zbledami_L1C_class,minimum distance,PCA,84.2975,85.2420,0.9445,31,39,0.4028,1.0000,102,nie
123456_zbledami_L1C_roi,maximum likelihood,Erosion,54.7816,66.2338,11.4522,34,131,0.0000,0.0000,102,TAK
123456_zbledami_L1C_roi,random forest,OneClassSVM,63.4002,65.4073,2.0071,41,58,0.1078,1.0000,102,nie
