mapa\referencja,1,2,3,4,5,6
1,371,38,14,2,12,2
2,0,41,0,0,11,0
3,0,0,76,0,2,0
4,34,1,0,77,0,2
5,0,14,6,0,58,2
6,0,1,0,0,0,83
