mapa\referencja,1,2,3,4,5,6
1,371,43,12,2,8,4
2,0,34,1,0,9,0
3,0,0,70,0,1,0
4,34,1,0,77,4,2
5,0,16,13,0,61,4
6,0,1,0,0,0,79
