mapa\referencja,1,2,3,4,5,6
1,370,39,13,2,11,2
2,0,40,0,0,6,0
3,0,0,72,0,2,0
4,35,1,0,77,1,2
5,0,14,11,0,63,2
6,0,1,0,0,0,83
