mapa\referencja,1,2,3,4,5,6
1,371,37,13,2,10,2
2,0,42,0,0,6,0
3,0,0,71,0,2,0
4,34,1,0,77,2,2
5,0,14,12,0,63,3
6,0,1,0,0,0,82
