mapa\referencja,1,2,3,4,5,6
1,314,5,6,2,0,0
2,41,73,2,0,26,0
3,1,0,67,0,1,0
4,26,1,0,77,1,0
5,23,15,20,0,55,5
6,0,1,1,0,0,84
