mapa\referencja,1,2,3,4,5,6
1,314,5,6,2,0,0
2,38,74,1,0,26,0
3,0,0,66,0,1,0
4,26,1,0,77,0,0
5,27,14,22,0,56,4
6,0,1,1,0,0,85
