mapa\referencja,1,2,3,4,5,6
1,324,9,6,2,1,0
2,22,66,1,0,23,0
3,1,0,59,0,0,0
4,26,1,0,77,1,0
5,32,18,29,0,58,4
6,0,1,1,0,0,85
