mapa\referencja,1,2,3,4,5,6
1,312,5,6,1,0,0
2,43,72,2,1,25,0
3,1,0,67,0,1,0
4,28,1,0,77,1,0
5,21,16,20,0,56,4
6,0,1,1,0,0,85
