mapa\referencja,1,2,3,4,5,6
1,313,5,6,1,0,0
2,40,73,2,1,24,0
3,0,0,67,0,1,0
4,29,1,0,77,0,0
5,23,15,20,0,58,4
6,0,1,1,0,0,85
