mapa\referencja,1,2,3,4,5,6
1,313,5,6,1,1,0
2,43,73,1,1,25,0
3,1,0,67,0,1,0
4,28,1,0,77,1,0
5,20,15,21,0,55,4
6,0,1,1,0,0,85
