mapa\referencja,1,2,3,4,5,6
1,313,5,6,2,0,1
2,38,74,2,0,28,0
3,1,0,67,0,1,0
4,27,1,0,77,1,0
5,26,14,20,0,53,3
6,0,1,1,0,0,85
