mapa\referencja,1,2,4,5,6,7
1,27,0,0,1,0,0
2,69,69,0,19,0,0
4,1,1,77,2,0,18
5,137,15,0,61,3,0
6,0,1,0,0,85,0
7,90,9,2,0,1,63
