mapa\referencja,1,2,3,4,5,6,7
1,5,0,0,0,0,0,0
2,7,54,1,0,4,0,1
3,102,9,89,0,22,7,2
4,1,2,0,78,0,0,33
5,75,29,5,1,57,1,0
6,0,1,0,0,0,81,0
7,134,0,1,0,0,0,45
