mapa\referencja,1,2,3,4,5,6
1,371,43,13,2,26,7
2,0,36,0,0,9,0
3,0,0,68,0,1,0
4,33,1,0,77,1,2
5,1,14,15,0,46,0
6,0,1,0,0,0,80
