mapa\referencja,1,2,3,4,5,6
1,370,38,12,2,20,4
2,0,42,1,0,6,0
3,1,0,72,0,2,0
4,34,1,0,77,2,2
5,0,13,11,0,53,0
6,0,1,0,0,0,83
