mapa\referencja,1,2,3,4,5,6
1,370,37,12,2,11,2
2,0,41,1,0,6,0
3,1,0,73,0,2,0
4,34,1,0,77,1,2
5,0,15,10,0,63,2
6,0,1,0,0,0,83
