mapa\referencja,1,2,3,4,5,6
1,371,41,15,2,10,2
2,0,37,1,0,6,0
3,0,0,73,0,1,0
4,34,1,0,77,1,2
5,0,15,7,0,65,2
6,0,1,0,0,0,83
