mapa\referencja,1,2,3,4,5,6
1,372,36,13,2,11,2
2,0,43,0,0,5,0
3,0,0,73,0,2,0
4,33,1,0,77,1,2
5,0,14,10,0,64,2
6,0,1,0,0,0,83
