mapa\referencja,1,2,3,4,5,6
1,371,54,14,2,16,3
2,0,23,1,0,7,0
3,0,0,63,0,1,0
4,34,1,0,77,1,2
5,0,16,18,0,58,1
6,0,1,0,0,0,83
