mapa\referencja,1,2,3,4,5,6
1,370,37,13,2,10,2
2,0,42,0,0,7,0
3,0,0,72,0,2,0
4,34,1,0,77,1,2
5,1,14,11,0,63,2
6,0,1,0,0,0,83
