mapa\referencja,1,2,3,4,5,6
1,376,28,10,6,8,1
2,0,48,1,0,3,0
3,0,0,85,0,6,1
4,29,1,0,73,0,2
5,0,17,0,0,66,4
6,0,1,0,0,0,81
