mapa\referencja,1,2,3,4,5,6
1,365,13,5,3,4,0
2,0,44,0,0,2,0
3,6,1,91,0,16,4
4,31,1,0,76,0,1
5,3,35,0,0,61,2
6,0,1,0,0,0,82
