mapa\referencja,1,2,3,4,5,6
1,376,18,5,9,5,0
2,0,42,0,0,1,0
3,6,0,89,0,3,0
4,21,1,0,70,0,1
5,2,33,2,0,74,7
6,0,1,0,0,0,81
