mapa\referencja,1,2,3,4,5,6
1,367,10,5,3,8,0
2,1,59,0,0,3,1
3,3,1,91,0,25,6
4,32,2,0,76,1,3
5,2,23,0,0,46,0
6,0,0,0,0,0,79
