mapa\referencja,1,2,3,4,5,6
1,364,8,5,3,2,0
2,1,50,0,0,2,0
3,3,1,90,0,19,10
4,31,1,0,76,1,1
5,6,34,1,0,59,0
6,0,1,0,0,0,78
