mapa\referencja,1,2,3,4,5,6
1,378,46,7,10,18,8
2,0,30,2,0,6,1
3,1,0,85,0,2,0
4,25,1,0,69,0,0
5,1,18,2,0,57,1
6,0,0,0,0,0,79
