mapa\referencja,1,2,3,4,5,6
1,369,28,7,4,8,1
2,0,48,1,0,5,0
3,3,0,86,0,11,4
4,33,1,0,75,0,1
5,0,17,2,0,59,0
6,0,1,0,0,0,83
