mapa\referencja,1,2,3,4,5,6
1,369,26,7,4,9,1
2,0,46,0,0,5,1
3,5,1,85,0,19,6
4,31,2,0,75,1,2
5,0,20,4,0,49,0
6,0,0,0,0,0,79
