mapa\referencja,1,2,3,4,5,6
1,370,30,9,3,8,1
2,0,38,0,0,5,0
3,1,0,83,0,14,2
4,32,1,0,76,0,0
5,2,25,4,0,54,1
6,0,1,0,0,2,85
